ID,Link
A1,https://youtube.com/embed/Ysb99ouU7Yc
A2,https://youtube.com/embed/UlkxnEIDJY4
A3,https://youtube.com/embed/thPZWcxLMYs
A4,https://youtube.com/embed/mx477i3miEo
A5,https://youtube.com/embed/zaVxvsODCe8
A6,https://youtube.com/embed/Yl58nFzTT8g
A7,https://youtube.com/embed/v8xPF8atqj8
A8,https://youtube.com/embed/kgxVFzoqp-g
A9,https://youtube.com/embed/e0WHfeSQNn0
A10,https://youtube.com/embed/iPWWDJK1Mrc
A11,https://youtube.com/embed/xVzneknb6tg
A12,https://youtube.com/embed/e8Z8jJhUUdc
A13,https://youtube.com/embed/DAAJh_90DRE
A14,https://youtube.com/embed/TZogjiqy5oI
A15,https://youtube.com/embed/kzfJb4c_xBQ
A16,https://youtube.com/embed/5wCynaWgTpM
A17,https://youtube.com/embed/SKAEkGjM1qY
A18,https://youtube.com/embed/5nJeBR_yNm8
A19,https://youtube.com/embed/9yyTOWqY19U
A20,https://youtube.com/embed/z0HPpewGj8s
A21,https://youtube.com/embed/zSFBhVPDGn4
A22,https://youtube.com/embed/YCHySCfurJU
A23,https://youtube.com/embed/ntWFBF10DAk
A24,https://youtube.com/embed/VW-9ZfsCJ3I
A25,https://youtube.com/embed/n-NCuoem7bM
A26,https://youtube.com/embed/DPPrm7xSgxI
A27,https://youtube.com/embed/kCx49T8hrwY
A28,https://youtube.com/embed/I1_qmSMmDA0
A29,https://youtube.com/embed/RXW0h1qDeJA
A30,https://youtube.com/embed/eZyjX5p-Vw0
A31,https://youtube.com/embed/RPJTPHxpDhc
A32,https://youtube.com/embed/QXvzwJ1ZbsA
A33,https://youtube.com/embed/vlsg3_kKpf0
A34,https://youtube.com/embed/dROKUe7D3gs
A35,https://youtube.com/embed/AAnx_y8baew
A36,https://youtube.com/embed/i3H97oRTCnU
A37,https://youtube.com/embed/fb0_sVDreTM
A38,https://youtube.com/embed/hRT8qZKZyIM
A39,https://youtube.com/embed/R_xgxPo1NFw
B1,https://www.youtube.com/embed/j_jY9RKL6XY
B2,https://www.youtube.com/embed/DT3u7OW6A1I
B3,https://youtube.com/embed/JYCjbgIImtU
B4,https://www.youtube.com/embed/aAn_411lboE
B5,https://www.youtube.com/embed/CvVotYFgd44
B6,https://www.youtube.com/embed/oAwa7ebhneA
B7,https://www.youtube.com/embed/ey9ZUfvVA94
B8,https://www.youtube.com/embed/ZXJU5h0IXro
B9,https://www.youtube.com/embed/mwm8j_hp2AU
B10,https://www.youtube.com/embed/SwpKt_ehVDw
B11,https://www.youtube.com/embed/obgDtrz_ViQ
B12,https://www.youtube.com/embed/6mT_HPav5hA
B13,https://www.youtube.com/embed/OkhhcBUduhA
C1,https://youtube.com/embed/6lz8z9Db8Ag
C2,https://youtube.com/embed/rz-0bLeCxxo
C3,https://youtube.com/embed/exm-sARTbm0
C4,https://youtube.com/embed/F1Er-mMJJRk
C5,https://youtube.com/embed/WGFviAa0EZo
C6,https://youtube.com/embed/7UPaAuBrF3g
C7,https://youtube.com/embed/WURBXKArNMw
C8,https://youtube.com/embed/TaSmJNr5uZE
C9,https://youtube.com/embed/jYSOgy7V9To
C10,https://youtube.com/embed/Ljb7fU9OijM
C11,https://youtube.com/embed/oSDy152O_lE
C12,https://youtube.com/embed/0QJGRwP-yiY
C13,https://youtube.com/embed/8IBxTTZvowA
C14,https://youtube.com/embed/ywazdWmkZQk
C15,https://youtube.com/embed/w0khRBQeqGE
D1,https://youtube.com/embed/aF1Cf84uU34
D2,https://youtube.com/embed/08gVHLz_oZA
D3,https://youtube.com/embed/u7z8lXKEczM
D4,https://youtube.com/embed/O-4TOwxj3zY
D5,https://youtube.com/embed/KRix3RarZ_0
D6,https://youtube.com/embed/CIr-OYyHXXc
D7,https://youtube.com/embed/zojQb8zoO68
D8,https://youtube.com/embed/HEPPICk4g1A
D9,https://youtube.com/embed/62obRYy-ws0
D10,https://youtube.com/embed/V8fOo86813Y
D11,https://youtube.com/embed/95BSHfgvI68
D12,https://youtube.com/embed/y1vP92gv8c0
E1,https://youtube.com/embed/ekN_nmkPngU
E2,https://youtube.com/embed/CbvAGX57NRo
E3,https://youtube.com/embed/pAj_O6BIaGM
E4,https://youtube.com/embed/K-C-YQjbcKk
E5,https://youtube.com/embed/BCQPTAPflvk
E6,https://youtube.com/embed/1zKPuVkZ66g
E7,https://youtube.com/embed/5eJwOyYgCGE
E8,https://youtube.com/embed/sYhyi-fdwYY
E9,https://youtube.com/embed/lwzQBkpO3_I
E10,https://youtube.com/embed/ECWz3BSVbyA
E11,https://youtube.com/embed/2epuubJduTk
E12,https://youtube.com/embed/ucNKmkHpZWw
E13,https://youtube.com/embed/sBYDgiNnKv8
E14,https://youtube.com/embed/3pfe2xdHwBU
E15,https://youtube.com/embed/ozdIkzmqjYM
E16,https://youtube.com/embed/4tS0m9bY1po
E17,https://youtube.com/embed/DD_ZTFZLNlA
E18,https://youtube.com/embed/2cbVNbOQ2BM
E19,https://youtube.com/embed/eJgmh6f4uLQ
F1,https://youtube.com/embed/JaKRaQp-WiA
F2,https://youtube.com/embed/3i3SweTy61I
F3,https://youtube.com/embed/gMtlcjHPyBo
F4,https://youtube.com/embed/CEKaQgxqSqs
F5,https://youtube.com/embed/mrQO6OmWbkI
G1,https://youtube.com/embed/liorLhAxXok
G2,https://youtube.com/embed/3m0x_aNlElY
G3,https://youtube.com/embed/4pGXCPrDJ4I
G4,https://youtube.com/embed/GblSwVAoDyI
G5,https://youtube.com/embed/jqPTfhqLeaY
G6,https://youtube.com/embed/N4cYuEBQ_6M
G7,https://youtube.com/embed/JB6AQcR6NNU
G8,https://youtube.com/embed/0wL5zkpygR8
G9,https://youtube.com/embed/ieFoKiRQ9nQ
G10,https://youtube.com/embed/h6O--Jo3qbY
G11,https://youtube.com/embed/2wrrCqH_Z0I
